Order ID,Date,Product,Category,Customer Name,Region,Quantity,Sales,Cost,Discount,Profit ,Profit Margin,Total Revenue,,,,,,,,,,,,,,,,
ORD00001,22-02-2025,Smartphone,Electronics,Kiran Gupta,North,1,840.73,744.13,5,96.6,0.114900146,3135939.86,,PIVOT TABLES,,,,,,,,,,,,,,
ORD00002,16-09-2025,Water Bottle,Accessories,Sneha Reddy,North,7,344.62,290.22,0,54.4,0.157855029,Total Profit,,,,,,,CUSTOMER PROFITABILITY,,,,,,,,,
ORD00003,18-08-2025,Backpack,Accessories,Sneha Reddy,East,5,2916.4,2875.44,20,40.96,0.014044713,462862.24,,,,,,,,,,,,,,,,
ORD00004,21-04-2025,Laptop,Electronics,Neha Patel,North,3,2292.86,2103.48,10,189.38,0.082595536,Total Order,,DISCOUNT IMPACT ANALYSIS ,,,,Row Labels,Sum of Profit ,,,,,,,,,
ORD00005,23-01-2025,Smartphone,Electronics,Meera Krishnan,North,7,893.73,740.25,10,153.48,0.171729717,1000,,Row Labels,Sum of Profit ,Sum of Discount,,Aarav Sharma,47323.66,,,,,,,,,
ORD00006,05-07-2025,Pen Set,Stationery,Sneha Reddy,South,2,1294.85,1113.04,20,181.81,0.140410086,Average Order Value,,Accessories,86919.99,2230,,East,9038.91,,,,,,,,,
ORD00007,30-04-2025,Smartphone,Electronics,Priya Nair,West,1,893.74,664.65,10,229.09,0.256327344,3135.93986,,Electronics,191834.22,4035,,North,10538.22,,,,,,,,,
ORD00008,01-07-2025,Desk,Furniture,Ananya Iyer,East,8,5362.98,5114.64,10,248.34,0.046306345,Total Quantity:,,Furniture,82076.18,1535,,South,19128.61,,,,,,,,,
ORD00009,25-03-2025,Smartphone,Electronics,Meera Krishnan,West,10,7110,6386.3,20,723.7,0.101786217,5487,,Stationery,102031.85,2190,,West,8617.92,,,,,,,,,
ORD00010,29-01-2025,Desk,Furniture,Ananya Iyer,North,9,2647.36,2046.78,10,600.58,0.226859966,,,Grand Total,462862.24,9990,,Ananya Iyer,37833.33,,,,,,,,,
ORD00011,18-10-2025,Notebook,Stationery,Neha Patel,South,7,2680.17,1925.42,5,754.75,0.281605271,,,,,,,East,9532.39,,,,,,,,,
ORD00012,13-03-2025,Printer,Electronics,Ananya Iyer,East,7,6099.04,6200.88,15,-101.84,-0.01669771,,,CUSTOMER VALUE ANALYSIS,,,,North,4542.59,,,,,,,,,
ORD00013,12-03-2025,Water Bottle,Accessories,Kiran Gupta,West,7,6657.3,6291.88,15,365.42,0.054890121,,,Row Labels,Sum of Sales,Sum of Profit ,,South,14877.52,,,,,,,,,
ORD00014,15-12-2025,Smartphone,Electronics,Arjun Rao,North,1,1106.95,862.49,5,244.46,0.22084105,,,Aarav Sharma,315056.64,47323.66,,West,8880.83,,,,,,,,,
ORD00015,11-10-2025,Pen Set,Stationery,Aarav Sharma,North,7,4682.03,4199.51,15,482.52,0.103057862,,,Ananya Iyer,285826.48,37833.33,,Arjun Rao,41548.92,,,,,,,,,
ORD00016,11-08-2025,Backpack,Accessories,Rahul Verma,West,5,3970.8,3854.55,10,116.25,0.029276216,,,Arjun Rao,333096.97,41548.92,,East,14594.66,,,,,,,,,
ORD00017,24-02-2025,Laptop,Electronics,Vikram Singh,South,5,6017.34,4860.85,5,1156.49,0.192192896,,,Kiran Gupta,360310.51,55594.04,,North,8140.98,,,,,,,,,
ORD00018,29-09-2025,Headphones,Electronics,Aarav Sharma,East,6,5438.92,4589.34,20,849.58,0.156203805,,,Meera Krishnan,325135.46,45138.42,,South,7223.23,,,,,,,,,
ORD00019,07-06-2025,Printer,Electronics,Ananya Iyer,North,1,157.74,120.75,10,36.99,0.23449981,,,Neha Patel,322727.17,51349.27,,West,11590.05,,,,,,,,,
ORD00020,05-02-2025,Office Chair,Furniture,Kiran Gupta,South,10,13196.15,9474.8,0,3721.35,0.282002705,,,Priya Nair,235574.95,36361.75,,Kiran Gupta,55594.04,,,,,,,,,
ORD00021,07-11-2025,Headphones,Electronics,Arjun Rao,South,8,8683.47,7579.04,5,1104.43,0.127187634,,,Rahul Verma,346462.05,61443.92,,East,6891.05,,,,,,,,,
ORD00022,29-11-2025,Backpack,Accessories,Neha Patel,West,4,3645.96,2863.28,15,782.68,0.214670485,,,Sneha Reddy,321524.52,39788.98,,North,15815.94,,,,,,,,,
ORD00023,11-01-2025,Backpack,Accessories,Sneha Reddy,South,8,1110.31,1038.32,5,71.99,0.064837748,,,Vikram Singh,290225.11,46479.95,,South,12339.83,,,,,,,,,
ORD00024,17-01-2025,Water Bottle,Accessories,Neha Patel,North,4,81.6,68.48,0,13.12,0.160784314,,,Grand Total,3135939.86,462862.24,,West,20547.22,,,,,,,,,
ORD00025,09-03-2025,Backpack,Accessories,Sneha Reddy,West,4,1151.72,1142.76,15,8.96,0.007779669,,,,,,,Meera Krishnan,45138.42,,,,,,,,,
ORD00026,04-12-2025,Office Chair,Furniture,Arjun Rao,East,8,6998.85,6475.36,5,523.49,0.074796574,,,,,,,East,17400.77,,,,,,,,,
ORD00027,27-11-2025,Pen Set,Stationery,Priya Nair,North,7,4527.67,3306.45,0,1221.22,0.269723721,,,,,,,North,7519.9,,,,,,,,,
ORD00028,08-04-2025,Pen Set,Stationery,Kiran Gupta,West,6,5776.06,4815.54,0,960.52,0.166293286,,,,,,,South,12359.95,,,,,,,,,
ORD00029,08-02-2025,Headphones,Electronics,Meera Krishnan,North,7,1368.29,1341.55,15,26.74,0.019542641,,,,,,,West,7857.8,,,,,,,,,
ORD00030,02-05-2025,Laptop,Electronics,Rahul Verma,West,9,11086.5,7539.03,0,3547.47,0.319981058,,,,,,,Neha Patel,51349.27,,,,,,,,,
ORD00031,26-03-2025,Printer,Electronics,Arjun Rao,North,8,2201.62,1772.88,15,428.74,0.19473842,,,,,,,East,10653.16,,,,,,,,,
ORD00032,23-12-2025,Pen Set,Stationery,Kiran Gupta,West,5,4784.54,4636.25,15,148.29,0.030993575,,,,,,,North,13679.74,,,,,,,,,
ORD00033,05-10-2025,Headphones,Electronics,Aarav Sharma,East,4,1617.93,1214.96,0,402.97,0.249065164,,,,,,,South,11689.77,,,,,,,,,
ORD00034,29-09-2025,Laptop,Electronics,Rahul Verma,North,1,690.83,588.34,20,102.49,0.148357773,,,,,,,West,15326.6,,,,,,,,,
ORD00035,12-12-2025,Backpack,Accessories,Ananya Iyer,West,2,2282.2,1705.66,0,576.54,0.25262466,,,,,,,Priya Nair,36361.75,,,,,,,,,
ORD00036,11-02-2025,Smartphone,Electronics,Arjun Rao,East,10,2265.27,2537.5,20,-272.23,-0.12017552,,,,,,,East,10560.68,,,,,,,,,
ORD00037,22-07-2025,Desk,Furniture,Rahul Verma,East,4,2896.52,2692.12,10,204.4,0.07056744,,,,,,,North,14019.32,,,,,,,,,
ORD00038,15-11-2025,Printer,Electronics,Sneha Reddy,North,6,6157,5578.38,0,578.62,0.093977586,,,,,,,South,5667,,,,,,,,,
ORD00039,28-06-2025,Smartphone,Electronics,Priya Nair,South,9,2064.14,1989.18,10,74.96,0.036315366,,,,,,,West,6114.75,,,,,,,,,
ORD00040,10-11-2025,Notebook,Stationery,Kiran Gupta,North,5,918.2,830.85,20,87.35,0.09513178,,,,,,,Rahul Verma,61443.92,,,,,,,,,
ORD00041,10-03-2025,Backpack,Accessories,Vikram Singh,North,5,6879.41,4662.2,0,2217.21,0.322296534,,,,,,,East,17633.28,,,,,,,,,
ORD00042,25-06-2025,Smartphone,Electronics,Ananya Iyer,East,9,1781.43,1475.01,10,306.42,0.172007881,,,,,,,North,15809.94,,,,,,,,,
ORD00043,05-08-2025,Backpack,Accessories,Vikram Singh,North,8,2352.15,2068.88,0,283.27,0.120430245,,,,,,,South,9869.3,,,,,,,,,
ORD00044,15-08-2025,Laptop,Electronics,Kiran Gupta,West,6,4863.99,4640.46,10,223.53,0.045956098,,,,,,,West,18131.4,,,,,,,,,
ORD00045,09-07-2025,Backpack,Accessories,Sneha Reddy,South,1,151.23,120.76,5,30.47,0.201481188,,,,,,,Sneha Reddy,39788.98,,,,,,,,,
ORD00046,21-01-2025,Pen Set,Stationery,Neha Patel,South,3,202.6,154.23,10,48.37,0.238746298,,,,,,,East,8241.89,,,,,,,,,
ORD00047,28-07-2025,Office Chair,Furniture,Sneha Reddy,South,2,837.63,720.28,20,117.35,0.140097656,,,,,,,North,8865.54,,,,,,,,,
ORD00048,13-01-2025,Office Chair,Furniture,Rahul Verma,East,3,4042.28,2929.32,5,1112.96,0.275329764,,,,,,,South,14104.8,,,,,,,,,
ORD00049,20-01-2025,Pen Set,Stationery,Meera Krishnan,South,4,1374.01,1096.56,0,277.45,0.201927206,,,,,,,West,8576.75,,,,,,,,,
ORD00050,04-12-2025,Office Chair,Furniture,Ananya Iyer,West,8,3218.86,2849.28,5,369.58,0.114817047,,,,,,,Vikram Singh,46479.95,,,,,,,,,
ORD00051,18-09-2025,Notebook,Stationery,Arjun Rao,East,5,4832.45,4328.55,10,503.9,0.104274229,,,,,,,East,8356.63,,,,,,,,,
ORD00052,16-05-2025,Laptop,Electronics,Aarav Sharma,North,2,1851.89,1756.54,10,95.35,0.051487939,,,,,,,North,16950,,,,,,,,,
ORD00053,19-09-2025,Water Bottle,Accessories,Priya Nair,West,7,2828.31,2465.61,10,362.7,0.128239125,,,,,,,South,12616.69,,,,,,,,,
ORD00054,03-10-2025,Water Bottle,Accessories,Ananya Iyer,East,4,981.16,1048.72,15,-67.56,-0.068857271,,,,,,,West,8556.63,,,,,,,,,
ORD00055,06-12-2025,Pen Set,Stationery,Priya Nair,East,2,2305.76,1898.78,10,406.98,0.176505794,,,,,,,Grand Total,462862.24,,,,,,,,,
ORD00056,01-06-2025,Backpack,Accessories,Kiran Gupta,South,5,3803.04,3351.1,10,451.94,0.11883651,,,,,,,,,,,,,,,,,
ORD00057,31-03-2025,Office Chair,Furniture,Sneha Reddy,East,7,5451.17,4677.96,15,773.21,0.141842944,,,,,,,,,,,,,,,,,
ORD00058,09-08-2025,Pen Set,Stationery,Sneha Reddy,East,9,8219.9,7518.51,10,701.39,0.085328289,,,,,,,,,,,,,,,,,
ORD00059,28-03-2025,Printer,Electronics,Priya Nair,East,8,4438.88,3581.92,5,856.96,0.193057708,,,,,,,,,,,,,,,,,
ORD00060,26-04-2025,Backpack,Accessories,Ananya Iyer,South,10,4446.18,3418.4,5,1027.78,0.231160232,,,,,,,,,,,,,,,,,
ORD00061,07-02-2025,Laptop,Electronics,Meera Krishnan,West,1,288.44,252.39,15,36.05,0.124982665,,,,,,,,,,,,,,,,,
ORD00062,05-05-2025,Water Bottle,Accessories,Rahul Verma,North,4,3182.01,2884.64,15,297.37,0.093453509,,,,,,,,,,,,,,,,,
ORD00063,13-10-2025,Smartphone,Electronics,Ananya Iyer,North,7,1632.01,1586.55,20,45.46,0.027855221,,,,,,,,,,,,,,,,,
ORD00064,01-11-2025,Printer,Electronics,Neha Patel,West,3,2882.9,2410.2,20,472.7,0.163966839,,,,,,,,,,,,,,,,,
ORD00065,23-03-2025,Water Bottle,Accessories,Meera Krishnan,West,9,3980.55,3892.23,20,88.32,0.022187889,,,,,,,,,,,,,,,,,
ORD00066,24-09-2025,Desk,Furniture,Meera Krishnan,South,4,4260.12,3365.84,10,894.28,0.209918969,,,,,,,,,,,,,,,,,
ORD00067,21-06-2025,Desk,Furniture,Neha Patel,North,8,745.3,693.68,10,51.62,0.0692607,,,,,,,,,,,,,,,,,
ORD00068,02-02-2025,Headphones,Electronics,Arjun Rao,West,3,941.54,716.85,5,224.69,0.23864095,,,,,,,,,,,,,,,,,
ORD00069,04-08-2025,Notebook,Stationery,Arjun Rao,North,9,5016.48,4241.43,0,775.05,0.154500765,,,,,,,,,,,,,,,,,
ORD00070,19-07-2025,Water Bottle,Accessories,Arjun Rao,South,7,3704.58,3375.47,10,329.11,0.088838681,,,,,,,,,,,,,,,,,
ORD00071,22-06-2025,Printer,Electronics,Arjun Rao,South,4,1059.05,1120.84,15,-61.79,-0.058344743,,,,,,,,,,,,,,,,,
ORD00072,21-07-2025,Printer,Electronics,Sneha Reddy,North,3,2615,2942.73,20,-327.73,-0.12532696,,,,,,,,,,,,,,,,,
ORD00073,14-05-2025,Smartphone,Electronics,Arjun Rao,East,7,1007.13,1010.38,15,-3.25,-0.003226992,,,,,,,,,,,,,,,,,
ORD00074,04-08-2025,Office Chair,Furniture,Vikram Singh,North,8,2747.65,2668.64,15,79.01,0.028755482,,,,,,,,,,,,,,,,,
ORD00075,29-06-2025,Printer,Electronics,Ananya Iyer,North,1,1127.27,751.53,0,375.74,0.333318548,,,,,,,,,,,,,,,,,
ORD00076,15-11-2025,Laptop,Electronics,Rahul Verma,South,1,1295.88,950.12,5,345.76,0.266814829,,,,,,,,,,,,,,,,,
ORD00077,27-08-2025,Headphones,Electronics,Vikram Singh,East,8,6368.52,5382.08,20,986.44,0.154893131,,,,,,,,,,,,,,,,,
ORD00078,25-03-2025,Headphones,Electronics,Vikram Singh,North,10,8624.46,6111.8,0,2512.66,0.291341139,,,,,,,,,,,,,,,,,
ORD00079,12-07-2025,Water Bottle,Accessories,Arjun Rao,South,1,1019.54,929.6,20,89.94,0.088216254,,,,,,,,,,,,,,,,,
ORD00080,04-06-2025,Smartphone,Electronics,Sneha Reddy,North,10,7517.89,6937.1,5,580.79,0.077254389,,,,,,,,,,,,,,,,,
